fscore	hiddenLayerSizes	numHiddenLayers	precision	recall
0.692913385827	200	0	0.530120481928	1.0
0.692913385827	150	0	0.530120481928	1.0
0.692913385827	100	0	0.530120481928	1.0
0.692913385827	40	0	0.530120481928	1.0
0.692913385827	10	0	0.530120481928	1.0
0.4	200	1	0.75	0.272727272727
0.426229508197	150	1	0.764705882353	0.295454545455
0.521739130435	100	1	0.72	0.409090909091
0.56	40	1	0.677419354839	0.477272727273
0.592592592593	10	1	0.648648648649	0.545454545455
0.0	200	2	0.0	0.0
0.0	150	2	0.0	0.0
0.694736842105	100	2	0.647058823529	0.75
0.6	40	2	0.666666666667	0.545454545455
0.56	10	2	0.677419354839	0.477272727273
0.0	200	3	0.0	0.0
0.0	150	3	0.0	0.0
0.0	100	3	0.0	0.0
0.65671641791	40	3	0.488888888889	1.0
0.65671641791	10	3	0.488888888889	1.0
0.0	200	4	0.0	0.0
0.0	150	4	0.0	0.0
0.0	100	4	0.0	0.0
0.0	40	4	0.0	0.0
0.714285714286	10	4	0.588235294118	0.909090909091
0.0	200	5	0.0	0.0
0.0	150	5	0.0	0.0
0.0	100	5	0.0	0.0
0.0	40	5	0.0	0.0
0.65671641791	10	5	0.488888888889	1.0
0.0	200	6	0.0	0.0
0.0	150	6	0.0	0.0
0.0	100	6	0.0	0.0
0.0	40	6	0.0	0.0
0.0	10	6	0.0	0.0
0.0	200	7	0.0	0.0
0.0	150	7	0.0	0.0
0.0	100	7	0.0	0.0
0.0	40	7	0.0	0.0
0.0	10	7	0.0	0.0
0.0	200	8	0.0	0.0
0.0	150	8	0.0	0.0
0.0	100	8	0.0	0.0
0.0	40	8	0.0	0.0
0.0	10	8	0.0	0.0
