fscore,hiddenLayerSizes,numHiddenLayers,precision,recall
0.575,100,0,0.638888888889,0.522727272727
0.575,50,0,0.638888888889,0.522727272727
0.575,25,0,0.638888888889,0.522727272727
0.575,10,0,0.638888888889,0.522727272727
0.578947368421,100,1,0.6875,0.5
0.567567567568,50,1,0.7,0.477272727273
0.578947368421,25,1,0.6875,0.5
0.582278481013,10,1,0.657142857143,0.522727272727
0.65671641791,100,2,0.488888888889,1.0
0.661290322581,50,2,0.5125,0.931818181818
0.674157303371,25,2,0.666666666667,0.681818181818
0.578947368421,10,2,0.6875,0.5
0.0,100,3,0.0,0.0
0.0,50,3,0.0,0.0
0.0,25,3,0.0,0.0
0.65671641791,10,3,0.488888888889,1.0
