fscore	learningRate	numEpochs	precision	recall
0.65671641791	0.1	1	0.488888888889	1.0
0.65671641791	0.1	10	0.488888888889	1.0
0.714285714286	0.1	100	0.588235294118	0.909090909091
0.850574712644	0.1	500	0.860465116279	0.840909090909
0.850574712644	0.1	1000	0.860465116279	0.840909090909
0.886363636364	0.1	3000	0.886363636364	0.886363636364
0.65671641791	0.01	1	0.488888888889	1.0
0.65671641791	0.01	10	0.488888888889	1.0
0.692913385827	0.01	100	0.530120481928	1.0
0.651162790698	0.01	500	0.666666666667	0.636363636364
0.693333333333	0.01	1000	0.838709677419	0.590909090909
0.814814814815	0.01	3000	0.891891891892	0.75
0.65671641791	0.001	1	0.488888888889	1.0
0.65671641791	0.001	10	0.488888888889	1.0
0.65671641791	0.001	100	0.488888888889	1.0
0.65671641791	0.001	500	0.488888888889	1.0
0.65671641791	0.001	1000	0.488888888889	1.0
0.709677419355	0.001	3000	0.673469387755	0.75
0.65671641791	0.0001	1	0.488888888889	1.0
0.65671641791	0.0001	10	0.488888888889	1.0
0.65671641791	0.0001	100	0.488888888889	1.0
0.65671641791	0.0001	500	0.488888888889	1.0
0.65671641791	0.0001	1000	0.488888888889	1.0
0.65671641791	0.0001	3000	0.488888888889	1.0
0.65671641791	1e-05	1	0.488888888889	1.0
0.65671641791	1e-05	10	0.488888888889	1.0
0.65671641791	1e-05	100	0.488888888889	1.0
0.65671641791	1e-05	500	0.488888888889	1.0
0.65671641791	1e-05	1000	0.488888888889	1.0
0.65671641791	1e-05	3000	0.488888888889	1.0
